id,project_code,name,cpi,clients,operation_select,project_type,other_cost,set_up_fee,tentative_end_date,tentative_start_date,project_assigned_to_teamlead,sample,total_achievement,remaining_interview,man_days,status,desabled
768,055ath056,Italian Food Survey,42,Atheneum,true,CATI,null,0,false,false,,44,14,30,5,In Progress,true
769,034ips035,ERP Accounting,75,Ipsos,true,CATI,null,300,false,false,,200,200,0,16,Completed,true
770,034ips036,Pakistan IT Exports,90,Ipsos,true,CATI,null,500,false,false,,200,200,0,119.5,Completed,true
771,031hay032,Law Firm Marketing Capability Research Study,57,Hayhurst Consultancy,true,CAWI,null,132,false,false,,200,200,0,88,Completed,true
772,040pro041,Green Acres Mall Survey,30,Prodege,true,CATI,null,200,false,false,,200,200,0,31,Completed,true
773,044qua045,B2B Industrial Survey,46,Qualtrics,true,CATI,null,200,false,false,,414,414,0,59.5,Completed,true
774,047rti048,CACM Nearshoring Study Amongst MNEs ,66,RTI,true,CATI,null,200,false,false,,300,300,0,99,Completed,true
775,052wer053,Metalworking DMs & Distributors,46,Werk Insights,true,CATI,null,200,false,false,,700,700,0,81,Completed,true
776,052wer054,Contractors Survey,45,Werk Insights,true,CATI,null,200,false,false,,100,100,0,19,Completed,true
777,034ips037,HORECA Segment Understanding Study,90,Ipsos,true,CATI,null,500,false,false,,440,440,0,67.5,Completed,true
778,063emi064,BSASEG01 - Bridgestone Americas Segmentation,100,EMI,true,CATI,null,200,false,false,,17,17,0,6,Completed,true
779,064glg065,Material Handling Survey,49,GLG,true,CATI,null,0,false,false,,87,87,0,14,Completed,true
780,034ips038,Potential Investors Survey,90,Ipsos,true,CATI,null,500,false,false,,311,311,0,94.5,Completed,true
781,041pur042,Multi Country B2B Leaders Survey,45,Pure Spectrum,true,CATI,null,200,false,false,,1000,1000,0,103.5,Completed,true
782,049sma050,US Gardening Survey,49,Smart Connect Research,true,CATI,null,0,false,false,,75,75,0,19,Completed,true
783,051sym052,SYM2400366 Ownership and Equity Software,45,Symmetric Sampling,true,CATI,null,200,false,false,,72,72,0,12,Completed,true
784,052wer055,Fleet DMs,46,Werk Insights,true,CATI,null,200,false,false,,250,250,0,26.5,Completed,true
785,064glg066,US Ed-Tech Survey,50,GLG,true,CATI,null,0,false,false,,38,38,0,38,Completed,true
786,042pym043,Merchants and Acquirers Survey (March Wave),53,Pymnts,true,CATI,null,200,false,false,,150,150,0,53.5,Completed,true
787,044qua046,Native American Adoption,32,Qualtrics,true,CATI,null,200,false,false,,400,400,0,112,Completed,true
788,064glg067,Content Monetization Preferences,51,GLG,true,CATI,null,0,false,false,,6,6,0,6,Completed,true
789,038oxf039,IBM Global Pulse Wave 4 SAP-specific Generative AI 2024 Survey,37,Oxford Economics,true,CATI,null,0,false,false,,200,200,0,62,Completed,true
790,064glg068,Material Handling Survey (Re-contact),5,GLG,true,CATI,null,0,false,false,,73,73,0,5,Completed,true
791,047rti049,India Missing Investors,63,RTI,true,CATI,null,195,false,false,,300,300,0,75.5,Completed,true
792,044qua047,Tech Board Members,48,Qualtrics,true,CATI,null,200,false,false,,15,15,0,2,Completed,true
793,031hay033,Law Firm Social Media Channel Choice study,57,Hayhurst Consultancy,true,CATI,null,132,false,false,,100,100,0,46,Completed,true
794,038oxf040,IBV Oracle HCM Survey,44,Oxford Economics,true,CATI,null,0,false,false,,1000,1000,0,85,Completed,true
795,060col061,Quant Sentiment Survey,76,Coleman Parkes,true,CATI,null,198,false,false,,75,75,0,7,Completed,true
796,061dig062,Logistics and Procurement Survey,40,Digital Research,true,CATI,null,200,false,false,,200,200,0,26,Completed,true
797,064glg069,School Safety Survey,49,GLG,true,CATI,null,0,false,false,,44,44,0,12,Completed,true
798,064glg070,Pharmacy Software Survey,51,GLG,true,CATI,null,0,false,false,,20,20,0,4,Completed,true
799,060col062,Actuaries and underwriters in the US and UK,59,Coleman Parkes,true,CATI,null,329,false,false,,350,350,0,20,Completed,true
800,051sym053,Builder Series 2024 (June Wave),43,Symmetric Sampling,true,CATI,null,200,false,false,,100,100,0,63,Completed,true
801,062dig063,Data Strategy and Compliance Survey,42,Dig Insights,true,CATI,null,0,false,false,,51,51,0,13,Completed,true
802,044qua048,VOC Web app research,44,Qualtrics,true,CATI,null,0,false,false,,200,200,0,58,Completed,true
803,051sym054,Builder Series 2024 (July Wave),43,Symmetric Sampling,true,CATI,null,200,false,false,,100,100,0,15,Completed,true
804,038oxf041,IBM Global Pulse Wave 5 SAP-Specific Generative AI 2024 Survey,37,Oxford Economics,true,CATI,null,0,false,false,,200,200,0,18,Completed,true
805,034ips039,UAE Business Stakeholders,90,Ipsos,true,CATI,null,500,false,false,,300,300,0,35,Completed,true
806,038oxf042,US pulse survey wave 49 (Gen AI and asset management),37,Oxford Economics,true,CATI,null,0,false,false,,100,100,0,6,Completed,true
807,034ips040,Corporate Brand Identity,135,Ipsos,true,CATI,null,250,false,false,,50,50,0,76.5,Completed,true
808,064glg071,Youth Sports Software Survey,48,GLG,true,CATI,null,0,false,false,,62,62,0,14,Completed,true
809,064glg072,Recurring Revenue Billing Platforms Survey,51,GLG,true,CATI,null,0,false,false,,35,35,0,11.5,Completed,true
810,029glo030,Hotels in Mexico,46,Global Data,true,CATI,null,0,false,false,,52,52,0,14,Completed,true
811,051sym055,Builder Series 2024 (August Wave),43,Symmetric Sampling,true,CATI,null,200,false,false,,100,100,0,15,Completed,true
812,042pym044,bankers sample,64,Pymnts,true,CAWI,null,200,false,false,,45,45,0,7,Completed,true
813,044qua049,ExPeople2025 (People Analytics Survey),45,Qualtrics,true,CAWI,null,200,false,false,,30,30,0,4,Completed,true
814,046rot047,Auto Repair Garage Operators Survey,40,Roth.MKM,true,CAWI,null,200,false,false,,200,200,0,20.5,Completed,true
815,042pym045,CAIO Instrument August 2024,56,Pymnts,true,CAWI,null,200,false,false,,60,60,0,7.25,Completed,true
816,046rot048,NEW B2B Project opportunity: Retail buyers/assista,45,Roth.MKM,true,CAWI,null,0,false,false,,50,null,21,12,In Progress,true
817,046rot049,New project - PMIS,44,Roth.MKM,true,CATI,null,0,false,false,,100,100,0,11,Completed,true
818,051sym056,SYM2401828 Property Owners/Managers 1,44,Symmetric Sampling,true,CATI,null,200,false,false,,150,94,56,14.5,In Progress,true
819,061dig063,"Architects, Designers, and Consultants Survey (Int",46,Digital Research,true,CATI,null,0,false,false,,50,50,0,6,Completed,true
820,046rot050,NEW B2B project opportunity....tech related,45,Roth.MKM,true,CATI,null,200,false,false,,100,48,52,7,Completed,true
821,033inn034,Data Analytics as a Service,48,Innovate MR,true,CATI,null,200,false,false,,100,100,0,26,Completed,true
822,055ath057,MRO Pneumatics & Hydraulics,44,Atheneum,true,CATI,null,0,false,false,,2,2,0,9,Completed,true
823,046rot051,Marketing platforms/marketing cloud solutions B2B in US,46,Roth.MKM,true,CATI,null,200,false,false,,79,79,0,12,Completed,true
824,049sma051,Installers and Specifiers,44.32,Smart Connect Research,true,CATI,null,150,false,false,,184,184,0,35.5,Completed,true
825,042pym046,Corporate Sender Instruments (Wave 2),60,Pymnts,true,CATI,null,200,false,false,,200,200,0,40,Completed,true
826,057bea058,Procurement in Electronics Comapnies Study,52,Beacon Tech,true,CATI,null,200,false,false,,130,130,0,14,Completed,true
827,032hex033,Packaged Beverage Survey,39.29,Hex Advisory,true,CATI,null,200,false,false,,100,100,0,47,Completed,true
828,059cla060,LSV,35,Clarity Research,true,CATI,null,200,false,false,,825,825,0,199.5,Completed,true
829,046rot052,Upwork Wave 7,26,Roth.MKM,true,CATI,null,250,false,false,,300,300,0,10,Completed,true
830,044qua050,Climate Risk Survey,45,Qualtrics,true,CATI,null,200,false,false,,42,42,0,8.5,Completed,true
831,039pla040,Enterprise IT Recruit,50,Plan Beyond,true,CATI,null,200,false,false,,400,400,0,69.5,Completed,true
832,042pym047,CFO Monitor,56,Pymnts,true,CATI,null,200,false,false,,60,60,0,21.5,Completed,true
833,057bea059,ASME Mechanical Engineering 2024 and Beyond,52,Beacon Tech,true,CATI,null,200,false,false,,500,500,0,74,Completed,true
834,046rot053,Outdoor Recreation Study (Wave-3),42,Roth.MKM,true,CATI,null,250,false,false,,100,100,0,19,Completed,true
835,036mor037,VC Workers,53,Morning Consult,true,CATI,null,200,false,false,,50,50,0,12.5,Completed,true
836,038oxf043,Finance and Internal Customers Survey Wave 3,115,Oxford Economics,true,CATI,null,0,false,false,,320,320,0,18.5,Completed,true
837,042pym048,CFO Monitor - Phase 2,56,Pymnts,true,CATI,null,200,false,false,,60,60,0,5.5,Completed,true
838,044qua051,AirborneContaminants,46,Qualtrics,true,CATI,null,200,false,false,,200,200,0,39.5,Completed,true
839,042pym049,Embeded Finance Products',58,Pymnts,true,CATI,null,200,false,false,,361,361,0,111,Completed,true
840,064glg073,Water Procurement,48.5,GLG,true,CATI,null,0,false,false,,72,72,0,18.5,Completed,true
841,042pym050,Chief Financial Officers Survey (CAIO Instrument),56,Pymnts,true,CATI,null,200,false,false,,60,60,0,9.5,Completed,true
842,052wer056,Deck Builders,46,Werk Insights,true,CATI,null,200,false,false,,500,500,0,88,Completed,true
843,044qua052,Legal Trends,42,Qualtrics,true,CATI,null,200,false,false,,50,50,0,10.5,Completed,true
844,064glg074,Wire Transfers,50,GLG,true,CATI,null,200,false,false,,43,43,0,3.5,Completed,true
845,056b2b057,Cost for Multi-Country Brand Tracking Research,85.31,B2B International,true,CATI,null,500,false,false,,645,645,0,165.5,Completed,true
846,060col063,Tech Index Study,40.81,Coleman Parkes,true,CATI,null,263,false,false,,1200,1200,0,62.5,Completed,true
847,046rot054,New B2B project opportunity: Zoominfo (SaaS company),40,Roth.MKM,true,CATI,null,200,false,false,,150,150,0,25,Completed,true
848,046rot055,MDC Voice of Customer (Interior Surface Distributors Survey),42,Roth.MKM,true,CATI,null,200,false,false,,152,152,0,44.5,Completed,true
849,033inn035,Travelers Survey,34,Innovate MR,true,CATI,null,200,false,false,,56,56,0,8,Completed,true
850,042pym051,CFO Monitor Phase 3,56,Pymnts,true,CATI,null,200,false,false,,60,60,0,10,Completed,true
851,042pym052,CAIO instrument April 2024,56,Pymnts,true,CATI,null,200,false,false,,60,60,0,15,Completed,true
852,056b2b058,Understanding & Segmenting The Fleet Manager Universe In UK & Germany,174.58,B2B International,true,CATI,null,395,false,false,,19,19,0,20,Completed,true
853,044qua053,Cattle Farmers Survey,38,Qualtrics,true,CATI,null,200,false,false,,303,303,0,91,Completed,true
854,046rot056,Voice of the Customer Survey (Quickparts),42,Roth.MKM,true,CATI,null,200,false,false,,75,2,0,74,Completed,true
855,057bea060,Microchip Procurement study - Phase 2,52,Beacon Tech,true,CATI,null,200,false,false,,130,130,0,40,Completed,true
856,046rot057,Digital Brand Managers at larger enterprises,45,Roth.MKM,true,CATI,null,200,false,false,,100,100,0,30,Completed,true
857,044qua054,Highland Solutions,45,Qualtrics,true,CATI,null,200,false,false,,203,203,0,30,Completed,true
858,046rot058,Residential Pool Designer Builder and Service Provider Survey (Wave 3),42,Roth.MKM,true,CATI,null,200,false,false,,100,100,0,12.5,Completed,true
859,064glg075,Auto Dealer Survey Feasibility,50,GLG,true,CATI,null,0,false,false,,32,32,0,12,Completed,true
860,038oxf044,LNRS Cost of Compliance survey,110,Oxford Economics,true,CATI,null,0,false,false,,250,250,0,22,Completed,true
861,046rot059,Roofing Businesses Survey,45,Roth.MKM,true,CATI,null,200,false,false,,200,200,0,58,Completed,true
862,046rot060,Wayfair Third-Party Merchants Survey,42,Roth.MKM,true,CATI,null,200,false,false,,100,100,0,18.5,Completed,true
863,042pym053,CFO Monitor Phase 4,56,Pymnts,true,CATI,null,200,false,false,,60,60,0,9.5,Completed,true
864,046rot061,Food Industry DMs Survey,45,Roth.MKM,true,CATI,null,200,false,false,,52,52,0,12,Completed,true
865,042pym054,CAIO instrument May 2024,56,Pymnts,true,CATI,null,200,false,false,,60,60,0,9,Completed,true
866,046rot062,Facilities DMs Survey,43.5,Roth.MKM,true,CATI,null,300,false,false,,200,200,0,26.5,Completed,true
867,046rot063,New edu1on/trade school survey,46,Roth.MKM,true,CATI,null,200,false,false,,50,50,0,10,Completed,true
868,064glg076,Identity Solution Insights,52,GLG,true,CATI,null,0,false,false,,32,32,0,9,Completed,true
869,042pym055,Enterprise Treasurer Study,56,Pymnts,true,CATI,null,200,false,false,,500,500,0,108,Completed,true
870,046rot064,Childcare Facilities Survey,44,Roth.MKM,true,CATI,null,200,false,false,,125,125,0,22,Completed,true
871,064glg077,Life Sciences/Services Survey Request,49.3,GLG,true,CATI,null,200,false,false,,3,3,0,7,Completed,true
872,044qua055,Plumbers Survey,44,Qualtrics,true,CATI,null,200,false,false,,100,100,0,30.5,Completed,true
873,044qua056,Legal Sector Survey,44,Qualtrics,true,CATI,null,200,false,false,,50,50,0,6.5,Completed,true
874,046rot065,Fleet Business Survey,40,Roth.MKM,true,CATI,null,0,false,false,,200,200,0,35.5,Completed,true
875,044qua057,Cattle Farmers (additional),38,Qualtrics,true,CATI,null,0,false,false,,55,55,0,21.5,Completed,true
876,046rot066,Print on Demand (POD),40,Roth.MKM,true,CATI,null,0,false,false,,100,100,0,72.5,Completed,true
877,059cla061,EU/Japan Motorcycle Research,40,Clarity Research,true,CATI,null,200,false,false,,400,400,0,78.5,Completed,true
878,046rot067,Med spas U.S. ,42,Roth.MKM,true,CATI,null,0,false,false,,100,100,0,20,Completed,true
879,042pym056,Chief Financial Officers Survey (CAIO Instrument)  June 2024 Wave,56,Pymnts,true,CATI,null,200,false,false,,60,60,0,8,Completed,true
880,042pym057,CFO Monitor - Phase 5,56,Pymnts,true,CATI,null,200,false,false,,60,60,0,8.5,Completed,true
881,046rot068,Appliance Parts Distributors Survey,40,Roth.MKM,true,CATI,null,0,false,false,,250,250,0,36.5,Completed,true
882,044qua058,Sustainability Survey,49,Qualtrics,true,CATI,null,200,false,false,,150,150,0,14.5,Completed,true
883,037out038,Indiana Youth and Adult Edu1on study,20,Outsized Insights,true,CATI,null,200,false,false,,791,791,0,144,Completed,true
884,044qua059,Orthodontist Pricing study,40,Qualtrics,true,CATI,null,200,false,false,,250,250,0,38,Completed,true
