id,project_code,name,project_type,clients,cpi,other_cost,operation_select,finance_select,upload_document,tentative_start_date,tentative_end_date,estimated_time,status,remark,created_by,assigned_to,created_at,is_active
3329,001glg806,Rental Marketing Platforms,CATI,GLG,49,,1,0,,2025-02-04 05:30:00,2025-02-11 05:30:00,"7 days, 0:00:00",Project Initiated,,Saransh Sharma,Navneet Tiwari,2025-02-05 08:28:32,1
3328,003pot244,2945a - Uni - Re: URGENT - Potloc B2B Project - Da,CATI,potloc,38,,1,0,,2025-02-04 05:30:00,2025-02-11 05:30:00,"7 days, 0:00:00",Project Initiated,,Saransh Sharma,Jagdeep Yadav,2025-02-05 08:27:57,1
3327,035har048,2024-027-02 UT JH Academic - FEB,Online,Harmon,15,,1,0,,2025-02-04 05:30:00,2025-02-11 05:30:00,"7 days, 0:00:00",Project Initiated,,Saransh Sharma,Pankaj Nandolia,2025-02-05 08:26:56,1
3326,001glg805,HCM Software survey Mid-market : GLG Feasibility R,CATI,GLG,51,,1,0,,2025-02-04 05:30:00,2025-02-11 05:30:00,"7 days, 0:00:00",Project Initiated,,Saransh Sharma,Navneet Tiwari,2025-02-05 08:25:22,1
3325,071wer088,Contractors and Architects (462),CATI,Werk Insights,45,,1,0,,2025-02-03 05:30:00,2025-02-17 05:30:00,"14 days, 0:00:00",Project Initiated,,Saransh Sharma,Ankit Narang,2025-02-05 08:24:46,1
3324,116bur117,Ingredients Research,CATI,Burak Jacobson,43,,1,0,,2025-02-03 05:30:00,2025-02-27 05:30:00,"24 days, 0:00:00",Project Initiated,,Saransh Sharma,Saurabh Malik,2025-02-05 08:23:36,1
3323,055pym104,Chief Financial Officers Survey (CAIO Instrument),CATI,Pymnts,56,,1,0,,2025-02-04 05:30:00,2025-02-14 05:30:00,"10 days, 0:00:00",Project Initiated,,Saransh Sharma,Reeti Sharma,2025-02-05 08:21:01,1
3322,002sym011,SYM2401409 BuilderSeries 2025 - February,CATI,Symmetric Sampling,43,,1,0,,2025-02-04 05:30:00,2025-02-18 05:30:00,"14 days, 0:00:00",Project Initiated,,Saransh Sharma,Ankit Narang,2025-02-05 08:19:25,1
3321,083glo093,"CCP4416 Dairy Interviews (CHE, ICLD, LU)",IDI,Global Data,234,,1,0,,2025-02-04 05:30:00,2025-02-11 05:30:00,"7 days, 0:00:00",Project Initiated,,Gaurav Prashant Saxena,Vishal Pathak,2025-02-04 16:20:16,1
3320,001glg804,[Unimrkt | GLG] VDI Market,CATI,GLG,51,,1,0,,2025-02-03 05:30:00,2025-02-17 05:30:00,"14 days, 0:00:00",To Be Started,,Saransh Sharma,Navneet Tiwari,2025-02-04 04:18:46,1
3319,001glg803,UM_glg | Mercury Bank Customer Survey,CATI,GLG,49,,1,0,,2025-02-03 05:30:00,2025-02-21 05:30:00,"18 days, 0:00:00",To Be Started,,Saransh Sharma,Navneet Tiwari,2025-02-04 04:17:43,1
3318,001glg802,UM_GLG | Exome Sequencing (Survey #609120),CATI,GLG,70,,1,0,,2025-02-03 05:30:00,2025-02-10 05:30:00,"7 days, 0:00:00",Project Initiated,,Saransh Sharma,Shivani Hanjura,2025-02-04 04:15:45,1
3317,001glg801,GLG Feasibility Request - Data Centres,CATI,GLG,49,,1,0,,2025-02-03 05:30:00,2025-02-21 05:30:00,"18 days, 0:00:00",To Be Started,,Saransh Sharma,Navneet Tiwari,2025-02-04 04:14:42,1
3316,083glo092,CCP4583 - Wellness Market in Mexico (Additional 9,IDI,Global Data,345,,1,0,,2025-01-31 05:30:00,2025-02-07 05:30:00,"7 days, 0:00:00",In Progress,,Gaurav Prashant Saxena,Vishal Pathak,2025-02-03 15:46:06,1
